"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","TypeOfIris","size"
"1",5.1,3.5,1.4,0.2,"setosa","Small"
"2",4.9,3,1.4,0.2,"setosa","Medium"
"3",4.7,3.2,1.3,0.2,"setosa","Large"
"4",4.6,3.1,1.5,0.2,"setosa","Small"
"5",5,3.6,1.4,0.2,"setosa","Medium"
"6",5.4,3.9,1.7,0.4,"setosa","Large"
"7",4.6,3.4,1.4,0.3,"setosa","Small"
"8",5,3.4,1.5,0.2,"setosa","Medium"
"9",4.4,2.9,1.4,0.2,"setosa","Large"
"10",4.9,3.1,1.5,0.1,"setosa","Small"
"11",5.4,3.7,1.5,0.2,"setosa","Medium"
"12",4.8,3.4,1.6,0.2,"setosa","Large"
"13",4.8,3,1.4,0.1,"setosa","Small"
"14",4.3,3,1.1,0.1,"setosa","Medium"
"15",5.8,4,1.2,0.2,"setosa","Large"
"16",5.7,4.4,1.5,0.4,"setosa","Small"
"17",5.4,3.9,1.3,0.4,"setosa","Medium"
"18",5.1,3.5,1.4,0.3,"setosa","Large"
"19",5.7,3.8,1.7,0.3,"setosa","Small"
"20",5.1,3.8,1.5,0.3,"setosa","Medium"
"21",5.4,3.4,1.7,0.2,"setosa","Large"
"22",5.1,3.7,1.5,0.4,"setosa","Small"
"23",4.6,3.6,1,0.2,"setosa","Medium"
"24",5.1,3.3,1.7,0.5,"setosa","Large"
"25",4.8,3.4,1.9,0.2,"setosa","Small"
"26",5,3,1.6,0.2,"setosa","Medium"
"27",5,3.4,1.6,0.4,"setosa","Large"
"28",5.2,3.5,1.5,0.2,"setosa","Small"
"29",5.2,3.4,1.4,0.2,"setosa","Medium"
"30",4.7,3.2,1.6,0.2,"setosa","Large"
"31",4.8,3.1,1.6,0.2,"setosa","Small"
"32",5.4,3.4,1.5,0.4,"setosa","Medium"
"33",5.2,4.1,1.5,0.1,"setosa","Large"
"34",5.5,4.2,1.4,0.2,"setosa","Small"
"35",4.9,3.1,1.5,0.2,"setosa","Medium"
"36",5,3.2,1.2,0.2,"setosa","Large"
"37",5.5,3.5,1.3,0.2,"setosa","Small"
"38",4.9,3.6,1.4,0.1,"setosa","Medium"
"39",4.4,3,1.3,0.2,"setosa","Large"
"40",5.1,3.4,1.5,0.2,"setosa","Small"
"41",5,3.5,1.3,0.3,"setosa","Medium"
"42",4.5,2.3,1.3,0.3,"setosa","Large"
"43",4.4,3.2,1.3,0.2,"setosa","Small"
"44",5,3.5,1.6,0.6,"setosa","Medium"
"45",5.1,3.8,1.9,0.4,"setosa","Large"
"46",4.8,3,1.4,0.3,"setosa","Small"
"47",5.1,3.8,1.6,0.2,"setosa","Medium"
"48",4.6,3.2,1.4,0.2,"setosa","Large"
"49",5.3,3.7,1.5,0.2,"setosa","Small"
"50",5,3.3,1.4,0.2,"setosa","Medium"
"51",7,3.2,4.7,1.4,"versicolor","Large"
"52",6.4,3.2,4.5,1.5,"versicolor","Small"
"53",6.9,3.1,4.9,1.5,"versicolor","Medium"
"54",5.5,2.3,4,1.3,"versicolor","Large"
"55",6.5,2.8,4.6,1.5,"versicolor","Small"
"56",5.7,2.8,4.5,1.3,"versicolor","Medium"
"57",6.3,3.3,4.7,1.6,"versicolor","Large"
"58",4.9,2.4,3.3,1,"versicolor","Small"
"59",6.6,2.9,4.6,1.3,"versicolor","Medium"
"60",5.2,2.7,3.9,1.4,"versicolor","Large"
"61",5,2,3.5,1,"versicolor","Small"
"62",5.9,3,4.2,1.5,"versicolor","Medium"
"63",6,2.2,4,1,"versicolor","Large"
"64",6.1,2.9,4.7,1.4,"versicolor","Small"
"65",5.6,2.9,3.6,1.3,"versicolor","Medium"
"66",6.7,3.1,4.4,1.4,"versicolor","Large"
"67",5.6,3,4.5,1.5,"versicolor","Small"
"68",5.8,2.7,4.1,1,"versicolor","Medium"
"69",6.2,2.2,4.5,1.5,"versicolor","Large"
"70",5.6,2.5,3.9,1.1,"versicolor","Small"
"71",5.9,3.2,4.8,1.8,"versicolor","Medium"
"72",6.1,2.8,4,1.3,"versicolor","Large"
"73",6.3,2.5,4.9,1.5,"versicolor","Small"
"74",6.1,2.8,4.7,1.2,"versicolor","Medium"
"75",6.4,2.9,4.3,1.3,"versicolor","Large"
"76",6.6,3,4.4,1.4,"versicolor","Small"
"77",6.8,2.8,4.8,1.4,"versicolor","Medium"
"78",6.7,3,5,1.7,"versicolor","Large"
"79",6,2.9,4.5,1.5,"versicolor","Small"
"80",5.7,2.6,3.5,1,"versicolor","Medium"
"81",5.5,2.4,3.8,1.1,"versicolor","Large"
"82",5.5,2.4,3.7,1,"versicolor","Small"
"83",5.8,2.7,3.9,1.2,"versicolor","Medium"
"84",6,2.7,5.1,1.6,"versicolor","Large"
"85",5.4,3,4.5,1.5,"versicolor","Small"
"86",6,3.4,4.5,1.6,"versicolor","Medium"
"87",6.7,3.1,4.7,1.5,"versicolor","Large"
"88",6.3,2.3,4.4,1.3,"versicolor","Small"
"89",5.6,3,4.1,1.3,"versicolor","Medium"
"90",5.5,2.5,4,1.3,"versicolor","Large"
"91",5.5,2.6,4.4,1.2,"versicolor","Small"
"92",6.1,3,4.6,1.4,"versicolor","Medium"
"93",5.8,2.6,4,1.2,"versicolor","Large"
"94",5,2.3,3.3,1,"versicolor","Small"
"95",5.6,2.7,4.2,1.3,"versicolor","Medium"
"96",5.7,3,4.2,1.2,"versicolor","Large"
"97",5.7,2.9,4.2,1.3,"versicolor","Small"
"98",6.2,2.9,4.3,1.3,"versicolor","Medium"
"99",5.1,2.5,3,1.1,"versicolor","Large"
"100",5.7,2.8,4.1,1.3,"versicolor","Small"
"101",6.3,3.3,6,2.5,"virginica","Medium"
"102",5.8,2.7,5.1,1.9,"virginica","Large"
"103",7.1,3,5.9,2.1,"virginica","Small"
"104",6.3,2.9,5.6,1.8,"virginica","Medium"
"105",6.5,3,5.8,2.2,"virginica","Large"
"106",7.6,3,6.6,2.1,"virginica","Small"
"107",4.9,2.5,4.5,1.7,"virginica","Medium"
"108",7.3,2.9,6.3,1.8,"virginica","Large"
"109",6.7,2.5,5.8,1.8,"virginica","Small"
"110",7.2,3.6,6.1,2.5,"virginica","Medium"
"111",6.5,3.2,5.1,2,"virginica","Large"
"112",6.4,2.7,5.3,1.9,"virginica","Small"
"113",6.8,3,5.5,2.1,"virginica","Medium"
"114",5.7,2.5,5,2,"virginica","Large"
